ID_Venta;Fecha_Venta;Codigo_Producto;Cantidad;Precio_Unitario;CUIT_Cliente
1;15/02/2020;MOUSE_432;94;8286.09;21-71848035-3
2;04/11/2019;MOUSE_598;75;13082.25;20-7409979-9
3;18/08/2019;TECLADO_245;6;13548.02;21-40641614-2
4;03/02/2020;LCD_TV;91;16830.85;20-50307730-9
5;14/01/2020;MOUSE_432;24;17458.5;20-88521570-5
6;22/07/2019;PARLANTEBL_23;49;13249.54;21-31945342-6
7;06/05/2020;MOUSE_598;95;28060.74;21-12410096-2
8;28/11/2019;PARLANTEBL_23;86;12758.59;20-23474520-6
9;23/08/2019;LED_TV;8;6187.81;21-41000476-1
10;09/07/2019;SMART_TV;23;15852.32;20-9361294-4
11;22/08/2019;TECLADO_245;90;15197.51;21-3974103-6
12;17/02/2020;LED_TV;44;20030.53;21-31917558-8
13;05/05/2020;SMART_TV;60;2678.13;21-54713904-9
14;04/10/2019;MOUSE_598;97;4874.45;20-8026000-9
15;13/05/2020;TECLADO_245;34;12306.93;21-77719343-1
16;25/05/2020;LCD_TV;62;23358.22;20-94874190-6
17;09/11/2019;PARLANTEBL_23;31;6455.0;20-564922-1
18;11/07/2019;SMART_TV;31;22899.83;21-17508243-5
19;15/12/2019;MOUSE_432;66;6451.48;20-12498948-1
20;23/05/2020;MOUSE_598;9;16937.06;20-12016125-6
21;20/12/2019;MOUSE_432;63;24807.93;20-30844236-4
22;06/12/2019;LED_TV;97;2714.86;21-99604517-9
23;21/06/2019;TECLADO_245;57;5564.59;21-97596539-8
24;06/07/2019;PARLANTEBL_23;56;13316.92;20-99440080-9
25;26/12/2019;MOUSE_432;94;16006.69;20-87340409-1
26;02/05/2020;MOUSE_432;29;25503.95;20-80121909-6
27;08/11/2019;PARLANTEBL_23;30;19293.65;21-39364552-8
28;19/12/2019;LED_TV;53;14621.9;20-77740566-5
29;27/12/2019;TECLADO_245;22;1660.28;20-35883579-1
30;11/03/2020;TECLADO_245;45;22857.28;20-28629941-5
31;11/01/2020;LED_TV;54;4336.36;20-23111043-1
32;17/07/2019;SMART_TV;50;9862.23;20-94251879-5
33;01/04/2020;LED_TV;77;4893.69;20-50023541-4
34;25/10/2019;SMART_TV;12;18070.21;20-26197265-6
35;13/09/2019;MOUSE_598;45;7608.27;21-72212801-1
36;10/10/2019;MOUSE_598;91;10413.33;21-95916702-8
37;28/12/2019;PARLANTEBL_23;59;20297.18;21-42985578-4
